title,budget,revenue,profit,log_budget,log_revenue,release_year,main_genre,runtime,vote_average,language_group,popularity
Clear and Present Danger,62000000,215887717,153887717,17.9426449591384,19.19026900641899,1994,Action,141.0,6.4,en,18.832471
Dragon Blade,65000000,121545703,56545703,17.989897843244528,18.61580091462176,2015,Action,127.0,5.9,zh,9.568884
Little Man,64000000,101595121,37595121,17.974393656948944,18.43650608014503,2006,Comedy,98.0,5.3,en,12.421504
U-571,62000000,127666415,65666415,17.9426449591384,18.664931295028406,2000,Action,116.0,6.1,en,18.096884
The American President,62000000,107879496,45879496,17.9426449591384,18.496525393636873,1995,Comedy,106.0,6.5,en,11.056763
The Love Guru,62000000,41819064,-20180936,17.9426449591384,17.548862893991245,2008,Comedy,87.0,4.3,en,13.218008
3000 Miles to Graceland,62000000,18720175,-43279825,17.9426449591384,16.745112430678926,2001,Action,125.0,5.8,en,11.262655
The Hateful Eight,44000000,155760117,111760117,17.599700214609808,18.863827676603687,2015,Crime,167.0,7.6,en,68.717016
Blades of Glory,53000000,0,-53000000,17.78580249038432,0.0,2007,Action,93.0,5.9,en,19.412028
Hop,63000000,183953723,120953723,17.958645300228824,19.03019478394183,2011,Animation,95.0,5.5,en,16.791058
The Bourne Identity,60000000,214034224,154034224,17.909855136853043,19.181646490105244,2002,Action,119.0,7.3,en,86.476817
The General's Daughter,60000000,149705852,89705852,17.909855136853043,18.824182946821935,1999,Crime,116.0,6.1,en,18.345613
The Prince of Egypt,70000000,218613188,148613188,18.064005814299346,19.20281446582997,1998,Adventure,99.0,6.8,en,29.464852
Daddy Day Care,60000000,164433867,104433867,17.909855136853043,18.91801902910162,2003,Comedy,92.0,5.6,en,18.106021
2 Guns,61000000,131940411,70940411,17.926384438531027,18.69786095438562,2013,Action,109.0,6.6,en,42.881415
Cats & Dogs,60000000,93375151,33375151,17.909855136853043,18.352135829260643,2001,Comedy,87.0,5.0,en,18.735024
The Italian Job,60000000,176070171,116070171,17.909855136853043,18.986393178086345,2003,Action,110.0,6.6,en,62.766854
Two Weeks Notice,60000000,93354918,33354918,17.909855136853043,18.351919120725473,2002,Romance,101.0,5.9,en,24.153567
Antz,60000000,171757863,111757863,17.909855136853043,18.961596275500323,1998,Adventure,83.0,6.0,en,41.515702
Couples Retreat,70000000,171844840,101844840,18.064005814299346,18.9621025404429,2009,Comedy,113.0,5.3,en,26.676487
Days of Thunder,60000000,157920733,97920733,17.909855136853043,18.877603781561643,1990,Adventure,107.0,5.9,en,16.278022
Cheaper by the Dozen 2,60000000,129181830,69181830,17.909855136853043,18.676731512488896,2005,Comedy,94.0,5.7,en,18.831023
Eat Pray Love,60000000,204594016,144594016,17.909855136853043,19.13653816862999,2010,Drama,133.0,5.8,en,28.800112
